Dia,Tamano_GB,Horas
20240821,0.00,0.00
20240822,0.00,0.00
20240902,0.00,0.00
20240924,0.04,0.01
20240929,0.28,0.07
20241001,0.04,0.01
20241025,0.39,0.10
20241106,14.58,3.71
20241202,1.10,0.28
20241203,6.35,1.62
20241204,50.66,12.89
20241205,82.45,20.98
20241206,91.86,23.38
20241207,92.01,23.42
20241208,42.70,10.87
20241210,0.01,0.00
20241211,0.01,0.00
20241212,79.95,20.35
20241213,93.21,23.72
20241214,30.55,7.78
20241216,83.95,21.37
20241217,93.24,23.73
20241218,66.77,16.99
20241219,93.15,23.71
20241220,50.94,12.96
20241221,68.04,17.32
20241222,93.27,23.74
20241223,85.16,21.67
20241224,92.04,23.43
20241225,92.05,23.43
20241226,92.05,23.43
20241227,92.42,23.52
20241228,92.02,23.42
20241229,93.21,23.72
20241230,77.26,19.66
20241231,92.19,23.46
20250101,46.19,11.76
20250102,93.27,23.74
20250103,45.47,11.57
20250104,93.27,23.74
20250105,84.31,21.46
20250106,46.53,11.84
20250107,85.81,21.84
20250108,55.19,14.05
20250109,52.50,13.36
20250110,81.64,20.78
20250111,93.27,23.74
20250112,93.22,23.72
20250113,53.65,13.65
20250114,51.59,13.13
20250115,93.25,23.73
20250116,41.59,10.59
20250117,52.81,13.44
20250118,93.22,23.72
20250119,92.03,23.42
20250120,55.31,14.08
20250121,93.28,23.74
20250122,76.96,19.59
20250123,93.24,23.73
20250124,92.01,23.42
20250125,63.04,16.04
20250126,93.24,23.73
20250127,91.99,23.41
20250128,68.68,17.48
20250129,93.25,23.73
20250130,91.36,23.25
20250131,92.03,23.42
20250201,91.30,23.24
20250202,59.18,15.06
20250203,50.30,12.80
20250204,48.17,12.26
20250205,55.03,14.01
20250206,88.00,22.40
20250207,93.23,23.73
20250208,92.03,23.42
20250209,93.22,23.73
20250210,93.22,23.72
20250211,92.00,23.41
20250212,93.21,23.72
20250213,66.20,16.85
20250214,93.23,23.73
20250215,93.25,23.73
20250216,92.05,23.43
20250217,93.10,23.69
20250218,65.26,16.61
20250219,49.23,12.53
20250220,49.40,12.57
20250221,93.22,23.72
20250222,93.28,23.74
20250223,93.22,23.73
20250224,93.19,23.72
20250225,90.34,22.99
20250226,62.83,15.99
20250227,60.48,15.39
20250228,93.22,23.72
20250301,57.35,14.60
20250304,54.67,13.91
20250305,51.18,13.03
20250306,52.70,13.41
20250307,93.22,23.72
20250308,93.22,23.73
20250309,93.22,23.73
20250310,78.57,20.00
20250311,93.21,23.72
20250312,93.18,23.71
20250313,83.24,21.19
20250314,71.65,18.24
20250315,71.72,18.25
20250316,93.21,23.72
20250317,53.50,13.62
20250318,59.42,15.12
20250319,92.26,23.48
20250320,77.24,19.66
20250321,93.21,23.72
20250322,34.09,8.68
20250324,10.90,2.77
20250325,45.19,11.50
20250326,90.72,23.09
20250327,58.38,14.86
20250328,93.21,23.72
20250329,92.81,23.62
20250330,78.71,20.03
20250331,49.87,12.69
20250401,55.00,14.00
20250402,53.72,13.67
20250403,54.12,13.77
20250404,93.21,23.72
